Timestamp,Gender,Age range,Time spend on instagram pre day,When is your Instagram time,"In Ins, what topic do you interest in ",What kinds of post do you most likely to like,What theme of post do you most likely to like,,,,,,
11/9/2018 16:21:20,Female,19-25,2,"Morning, when I wake up., After dinner when am boring, Bed time, Anytime","Friends, Ins celebrities","People only, Nice place, Nice filter","Happiness, Excitement",,,,,,
11/9/2018 16:26:35,Male,19-25,less than 1 hour,Anytime,"Travel, food","People only, Food",Happiness,,,,,,
11/9/2018 16:28:17,Male,19-25,3,"Morning, when I wake up., lunch time, After school/ work but before dinner., Dinner time, After dinner when am boring, Bed time, Anytime","Celebrities, Sports, Friends","People only, Good body, Beautiful face, Nice place, Just because we are friends","Happiness, Excitement",,,,,,
11/9/2018 16:30:01,Male,19-25,less than 1 hour,"After school/ work but before dinner., After dinner when am boring","Celebrities, Sports, Friends","People only, Celebrities, Good body, Food","Happiness, Excitement",,,,,,
11/9/2018 16:31:14,Male,19-25,1,Anytime,"Fashion, High Street products, memes","I gave Random likes, funny memes",Depend I am feeling at that time,,,,,,
11/9/2018 16:31:47,Female,19-25,1,"Morning, when I wake up., After school/ work but before dinner., Bed time, Anytime","Celebrities, Fashion, Friends","People only, Celebrities",Happiness,,,,,,
11/9/2018 16:34:04,Prefer not to say,30+,less than 1 hour,Anytime,"Celebrities, Fashion, Friends, Tech","People only, product only, I gave Random likes","Excitement, Life philosophy",,,,,,
11/9/2018 16:36:16,Male,19-25,less than 1 hour,Anytime,"Celebrities, Friends","Celebrities, Food, Nice place","Happiness, Excitement",,,,,,
11/9/2018 16:36:20,Female,15-18,less than 1 hour,"Morning, when I wake up., After school/ work but before dinner., Anytime","Celebrities, Friends, Knowledge","People only, Nice place, Good caption, Just because we are friends","Happiness, Excitement, Life philosophy",,,,,,
11/9/2018 16:36:21,Female,15-18,2,"After dinner when am boring, Anytime","Celebrities, Fashion, Friends","Beautiful face, Food, Nice filter, Good caption","Happiness, Excitement",,,,,,
11/9/2018 16:36:43,Prefer not to say,19-25,1,Anytime,"Celebrities, Sports, Fashion, Friends, High Street products, Travel",Beautiful face,Happiness,,,,,,
11/9/2018 16:48:13,Female,19-25,3,"Morning, when I wake up., lunch time, After school/ work but before dinner., Dinner time, After dinner when am boring, Bed time, Anytime","Friends, Food","People only, Food","Happiness, Excitement",,,,,,
11/9/2018 16:52:03,Female,19-25,less than 1 hour,"Morning, when I wake up., After school/ work but before dinner., After dinner when am boring, Bed time","Celebrities, Fashion, Friends, Travel","People only, Nice place, Nice filter, Just because we are friends","Happiness, Excitement",,,,,,
11/9/2018 16:53:11,Male,19-25,1,Anytime,"Celebrities, Sports, Fashion, Friends, High Street products, Ins celebrities, Travel","People only, Celebrities, Food, Nice place, Good caption, I gave Random likes, Just because we are friends","Happiness, Excitement",,,,,,
11/9/2018 16:54:10,Female,19-25,4,"Morning, when I wake up., lunch time, After school/ work but before dinner., Dinner time, After dinner when am boring, Bed time, Anytime","Celebrities, Fashion, Friends, High Street products, Ins celebrities, Travel","People only, product only, Celebrities, Good body, Beautiful face, Food, Nice place, Nice filter, Good caption, I gave Random likes, Just because we are friends","Happiness, Excitement, Life philosophy",,,,,,
11/9/2018 17:04:29,Female,19-25,less than 1 hour,Anytime,Celebrities,I gave Random likes,Happiness,,,,,,
11/9/2018 17:20:33,Female,19-25,1,Anytime,Friends,Celebrities,Happiness,,,,,,
11/9/2018 17:25:02,Male,19-25,less than 1 hour,Bed time,Friends,I gave Random likes,Happiness,,,,,,
11/9/2018 17:34:21,Female,19-25,1,Anytime,Friends,Good caption,Happiness,,,,,,
11/9/2018 17:42:13,Female,19-25,4,Anytime,Fashion,Food,Happiness,,,,,,
11/9/2018 17:44:17,Female,19-25,1,Anytime,Fashion,Beautiful face,Happiness,,,,,,
11/9/2018 18:27:07,Female,19-25,2,Anytime,Friends,Just because we are friends,Happiness,,,,,,
11/9/2018 18:54:08,Female,19-25,less than 1 hour,"Morning, when I wake up.",Celebrities,Good body,Happiness,,,,,,
11/9/2018 19:23:35,Male,19-25,less than 1 hour,Anytime,Friends,People only,Excitement,,,,,,
11/9/2018 21:22:22,Female,19-25,1,Anytime,Travel,People only,Happiness,,,,,,
11/9/2018 21:26:04,Female,19-25,less than 1 hour,Anytime,Friends,Good caption,Happiness,,,,,,
11/9/2018 22:18:03,Male,19-25,2,Anytime,"Celebrities, Sports, Fashion, Friends, High Street products","Celebrities, Just because we are friends","Happiness, Excitement",,,,,,
11/9/2018 22:18:40,Female,19-25,less than 1 hour,Anytime,"Celebrities, Fashion, Friends, Travel","Celebrities, Beautiful face, Nice place, Just because we are friends","Happiness, Excitement, Depress",,,,,,
11/9/2018 22:34:01,Male,19-25,1,Anytime,"Sports, Fashion, Friends","People only, product only","Happiness, Excitement",,,,,,
11/9/2018 23:05:44,Female,19-25,2,Anytime,"Celebrities, Fashion, Friends, Social justice activists","People only, Celebrities, Food, Nice place, Just because we are friends","Happiness, Excitement, Life philosophy, Silly/Funny/Memes",,,,,,
11/9/2018 23:55:27,Female,19-25,less than 1 hour,"lunch time, After school/ work but before dinner., Dinner time","Celebrities, Sports, Fashion, Friends",People only,"Happiness, Excitement, Life philosophy",,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
